ISBN	Title	Author	Rating	R Count	Score
9780470828953	Red Capitalism: The Fragile Financial Foundation of China's Extraordinary Rise	Carl E. Walter; Fraser J. T. Howie	3.92	140	2.34
9780425236703	Vampire Trinity	Joey W. Hill	4.43	755	2.46
9780307272775	The History of History	Ida Hattemer-Higgins	3.15	171	2.78
9781439152782	The Distant Hours	Kate Morton	3.84	33062	2.74
9780307589033	Beaten, Seared, and Sauced: On Becoming a Chef at the Culinary Institute of America	Jonathan Dixon	3.47	783	2.45
9781606841440	Hourglass	Myra McEntire	3.85	14269	1.87
9780385666046	Science, Sense and Nonsense: 61 Nourishing, Healthy, Bunk-Free Commentaries on the Chemistry That Affects Us All	Joe Schwarcz	3.73	41	3.09
9780307399090	No Logo	Naomi Klein	3.85	13795	3.25
9780140048339	The Far Pavilions	Mary Margaret Kaye	4.18	23027	3.57
9781596929425	The Anomalies	Joey Goebel	3.7	592	1.83
9780307449948	Lady Blue Eyes: My Life With Frank	Barbara Sinatra	3.27	261	2.34
9781582436098	The Eden Hunter: A Novel	Skip Horack	3.78	180	2.09
9781400042173	The Assassin's Song	M. G. Vassanji	3.63	367	2.63
9781935149484	Finland's War of Choice	Henrik O. Lunde	3.48	58	2.49
9781597802352	Dancing With Bears	Michael Swanwick	3.76	160	2.7
9780446549356	The Quiet Room	Lori Schiller; Amanda Bennett	3.97	3638	2.07
9781590207178	The Illustrated Gormenghast Trilogy	Mervyn Peake	3.98	5128	3.87
9780373617661	Sanctuary	Beverly Barton	3.76	785	1.84
9781420110340	Don't Cry	Beverly Barton	3.97	979	2.04
9781420100501	Silent Killer	Beverly Barton	4.0	863	2.02
9781880284629	How to Write Killer Fiction: The Funhouse of Mystery & the Roller Coaster of Suspense	Carolyn Wheat	3.86	137	2.06
9780843960754	The Frailty of Flesh	Sandra Ruttan	3.47	58	1.78
9780753802472	Desert Queen	Janet Wallach	3.87	1494	2.8
9780385528429	The Ayatollah Begs to Differ	Hooman Majd	3.69	1126	2.51
9780307813701	The Ruined Map	Kobo Abe	3.58	745	2.33
9780399157158	The Winter Ghosts	Kate Mosse	3.35	5407	1.89
9781936070459	Seattle Noir	Curt Colbert	2.9	111	2.3
9780385530217	Snakehead	Patrick Radden Keefe	3.96	628	2.83
9781583334065	The Coke Machine: The Dirty Truth Behind the World's Favorite Soft Drink	Michael Blanding	3.3	322	2.91
9781932657265	Genellan: Planetfall	Scott G. Gier	3.53	115	2.99
9780330468428	The Reality Dysfunction	Peter F Hamilton	4.13	13724	3.73
9781616082260	63 Documents the Government Doesn't Want You to Read	Jesse Ventura; Dick Russell	3.4	405	1.92
9781616082147	American Conspiracies	Jesse Ventura; Dick Russell	3.58	870	2.42
9781602397163	Don't Start the Revolution Without Me!	Jesse Ventura; Dick Russell	3.77	242	2.32
9781584795599	I'm Just Here for the Food: Version 2.0	Alton Brown	4.19	10337	2.72
9780980672947	The Internet Is a Playground	David Thorne	3.89	3103	2.04
1400041716	Age of Greed: The Triumph of Finance and the Decline of America, 1970 to the Present	Jeff Madrick	3.83	121	3.04
9780143173335	The Raven's Gift	Don Rearden	3.95	290	1.79
